Ortholog group	Number of genomes	Example accession	Description	Red_Sea_only
pelag12865	1	AAA288G21_00109	hypothetical protein	
pelag12866	1	AAA288G21_00120	hypothetical protein	
pelag12867	1	AAA288G21_00194	hypothetical protein	
pelag12868	1	AAA288G21_00248	Vitamin B12-binding protein	
pelag12869	1	AAA288G21_00291	Methionyl-tRNA formyltransferase	
pelag12870	1	AAA288G21_00294	hypothetical protein	
pelag12871	1	AAA288G21_00298	hypothetical protein	
pelag12872	1	AAA288G21_00302	hypothetical protein	
pelag12873	1	AAA288G21_00305	hypothetical protein	
pelag12874	1	AAA288G21_00321	hypothetical protein	
pelag12875	1	AAA288G21_00322	Ubiquinone/menaquinone biosynthesis C-methyltransferase UbiE	
pelag12876	1	AAA288G21_00331	hypothetical protein	
pelag12877	1	AAA288G21_00337	hypothetical protein	
pelag12878	1	AAA288G21_00362	hypothetical protein	
pelag12879	1	AAA288G21_00371	hypothetical protein	
pelag12880	1	AAA288G21_00372	Very short patch repair protein	
pelag12881	1	AAA288G21_00375	hypothetical protein	
pelag12882	1	AAA288G21_00377	hypothetical protein	
pelag12883	1	AAA288G21_00378	Putative acetyltransferase	
pelag12884	1	AAA288G21_00379	GDP-perosamine synthase	
pelag12885	1	AAA288G21_00380	hypothetical protein	
pelag12886	1	AAA288G21_00430	hypothetical protein	
pelag12887	1	AAA288G21_00431	hypothetical protein	
pelag12888	1	AAA288G21_00472	hypothetical protein	
pelag12889	1	AAA288G21_00483	hypothetical protein	
pelag12890	1	AAA288G21_00509	hypothetical protein	
pelag12891	1	AAA288G21_00522	hypothetical protein	
pelag12892	1	AAA288G21_00535	hypothetical protein	
pelag12893	1	AAA288G21_00540	hypothetical protein	
pelag12894	1	AAA288G21_00576	hypothetical protein	
pelag12895	1	AAA288G21_00577	hypothetical protein	
pelag12896	1	AAA288G21_00585	hypothetical protein	
pelag12897	1	AAA288G21_00634	hypothetical protein	
pelag12898	1	AAA288G21_00654	putative MFS-type transporter YcaD	
pelag12899	1	AAA288G21_00655	hypothetical protein	
pelag12900	1	AAA288G21_00659	hypothetical protein	
pelag12901	1	AAA288G21_00662	hypothetical protein	
pelag12902	1	AAA288G21_00663	hypothetical protein	
pelag12903	1	AAA288G21_00664	hypothetical protein	
pelag12904	1	AAA288G21_00666	hypothetical protein	
pelag12905	1	AAA288G21_00667	hypothetical protein	
pelag12906	1	AAA288G21_00668	hypothetical protein	
pelag12907	1	AAA288G21_00669	hypothetical protein	
pelag12908	1	AAA288G21_00671	hypothetical protein	
pelag12909	1	AAA288G21_00672	hypothetical protein	
pelag12910	1	AAA288G21_00694	hypothetical protein	
pelag12911	1	AAA288G21_00698	Glucose-1-phosphate thymidylyltransferase 1	
pelag12912	1	AAA288G21_00700	GDP-6-deoxy-D-mannose reductase	
pelag12913	1	AAA288G21_00701	hypothetical protein	
pelag12914	1	AAA288G21_00706	tRNA-2-methylthio-N(6)-dimethylallyladenosine synthase	
pelag12915	1	AAA288G21_00707	hypothetical protein	
pelag12916	1	AAA288G21_00718	PKHD-type hydroxylase YbiX	
pelag12917	1	AAA288G21_00722	hypothetical protein	
pelag12918	1	AAA288G21_00745	hypothetical protein	
pelag12919	1	AAA288G21_00747	KipI antagonist	
pelag12920	1	AAA288G21_00748	Methylmalonyl-CoA carboxyltransferase 1.3S subunit	
pelag12921	1	AAA288G21_00749	hypothetical protein	
pelag12922	1	AAA288G21_00750	putative GST-like protein YibF	
pelag12923	1	AAA288G21_00762	hypothetical protein	
pelag12924	1	AAA288G21_00765	hypothetical protein	
pelag12925	1	AAA288G21_00766	hypothetical protein	
pelag12926	1	AAA288G21_00769	hypothetical protein	
pelag12927	1	AAA288G21_00805	hypothetical protein	
pelag12928	1	AAA288G21_00807	hypothetical protein	
pelag12929	1	AAA288G21_00809	hypothetical protein	
pelag12930	1	AAA288G21_00810	2'-dehydrokanamycin reductase	
pelag12931	1	AAA288G21_00816	hypothetical protein	
pelag12932	1	AAA288G21_00817	hypothetical protein	
pelag12933	1	AAA288G21_00826	hypothetical protein	
pelag12934	1	AAA288G21_00835	hypothetical protein	
pelag12935	1	AAA288G21_00840	hypothetical protein	
pelag12936	1	AAA288G21_00841	hypothetical protein	
pelag12937	1	AAA288G21_00858	GDP-perosamine synthase	
pelag12938	1	AAA288G21_00861	Glutamyl-tRNA reductase	
pelag12939	1	AAA288G21_00871	hypothetical protein	
pelag12940	1	AAA288G21_00874	D-amino acid dehydrogenase 1	
pelag12941	1	AAA288G21_00879	Penicillin-binding protein 2	
pelag12942	1	AAA288G21_00909	hypothetical protein	
pelag12943	1	AAA288G21_00910	hypothetical protein	
pelag12944	1	AAA288G21_00916	hypothetical protein	
pelag12945	1	AAA288G21_00929	hypothetical protein	
pelag12946	1	AAA288G21_00931	hypothetical protein	
pelag12947	1	AAA288G21_00932	hypothetical protein	
pelag12948	1	AAA288G21_00933	hypothetical protein	
pelag12949	1	AAA288G21_00934	hypothetical protein	
pelag12950	1	AAA288G21_00935	hypothetical protein	
pelag12951	1	AAA288G21_00940	hypothetical protein	
pelag12952	1	AAA288G21_00941	hypothetical protein	
pelag12953	1	AAA288G21_00942	hypothetical protein	
pelag12954	1	AAA288G21_00943	hypothetical protein	
pelag12955	1	AAA288G21_00944	hypothetical protein	
pelag12956	1	AAA288G21_00947	Ribonuclease J	
pelag12957	1	AAA288G21_00948	hypothetical protein	
pelag12958	1	AAA288G21_00951	TDP-4-oxo-6-deoxy-alpha-D-glucose-3,4-oxoisomerase	
pelag12959	1	AAA288G21_00953	hypothetical protein	
pelag12960	1	AAA288G21_00955	Molybdopterin molybdenumtransferase	
pelag12961	1	AAA288G21_00957	hypothetical protein	
pelag12962	1	AAA288G21_00958	hypothetical protein	
pelag12963	1	AAA288G21_00959	hypothetical protein	
pelag12964	1	AAA288G21_00960	hypothetical protein	
pelag12965	1	AAA288G21_00961	Oxygen-insensitive NAD(P)H nitroreductase	
pelag12966	1	AAA288G21_00962	hypothetical protein	
pelag12967	1	AAA288G21_00964	hypothetical protein	
pelag12968	1	AAA288G21_00966	hypothetical protein	
pelag12969	1	AAA288G21_00967	hypothetical protein	
pelag12970	1	AAA288G21_00968	hypothetical protein	
pelag12971	1	AAA288G21_00969	hypothetical protein	
pelag12972	1	AAA288G21_00970	Protein-L-isoaspartate O-methyltransferase	
pelag12973	1	AAA288G21_00971	Type III pantothenate kinase	
pelag12974	1	AAA288G21_00981	hypothetical protein	
pelag12975	1	AAA288G21_00982	hypothetical protein	
pelag12976	1	AAA288G21_00987	hypothetical protein	
pelag12977	1	AAA288G21_00988	hypothetical protein	
pelag12978	1	AAA288G21_00989	hypothetical protein	
pelag12979	1	AAA288G21_00991	hypothetical protein	
pelag12980	1	AAA288G21_00992	hypothetical protein	
pelag12981	1	AAA288G21_00994	hypothetical protein	
pelag12982	1	AAA288G21_00997	hypothetical protein	
pelag12983	1	AAA288G21_01000	hypothetical protein	
pelag12984	1	AAA288G21_01001	Sec-independent protein translocase protein TatC	
pelag12985	1	AAA288N07_00001	Ribose import ATP-binding protein RbsA	
pelag12986	1	AAA288N07_00002	hypothetical protein	
pelag12987	1	AAA288N07_00013	Inner membrane protein YqiK	
pelag12988	1	AAA288N07_00016	Chromosome-partitioning ATPase Soj	
pelag12989	1	AAA288N07_00084	hypothetical protein	
pelag12990	1	AAA288N07_00118	hypothetical protein	
pelag12991	1	AAA288N07_00120	hypothetical protein	
pelag12992	1	AAA288N07_00121	Long-chain-fatty-acid--CoA ligase FadD13	
pelag12993	1	AAA288N07_00148	hypothetical protein	
pelag12994	1	AAA288N07_00153	hypothetical protein	
pelag12995	1	AAA288N07_00157	hypothetical protein	
pelag12996	1	AAA288N07_00159	hypothetical protein	
pelag12997	1	AAA288N07_00161	hypothetical protein	
pelag12998	1	AAA288N07_00242	hypothetical protein	
pelag12999	1	AAA288N07_00273	hypothetical protein	
pelag13000	1	AAA288N07_00300	hypothetical protein	
pelag13001	1	AAA288N07_00301	hypothetical protein	
pelag13002	1	AAA288N07_00304	hypothetical protein	
pelag13003	1	AAA288N07_00305	hypothetical protein	
pelag13004	1	AAA288N07_00337	GDP-L-fucose synthase	
pelag13005	1	AAA288N07_00383	hypothetical protein	
pelag13006	1	AAA288N07_00395	hypothetical protein	
pelag13007	1	AAA288N07_00403	hypothetical protein	
pelag13008	1	AAA288N07_00409	hypothetical protein	
pelag13009	1	AAA288N07_00411	hypothetical protein	
pelag13010	1	AAA288N07_00414	hypothetical protein	
pelag13011	1	AAA288N07_00415	Modification methylase Eco57IB	
pelag13012	1	AAA288N07_00416	Type IIS restriction enzyme Eco57I	
pelag13013	1	AAA288N07_00417	hypothetical protein	
pelag13014	1	AAA288N07_00418	hypothetical protein	
pelag13015	1	AAA288N07_00451	hypothetical protein	
pelag13016	1	AAA288N07_00455	hypothetical protein	
pelag13017	1	AAA288N07_00465	hypothetical protein	
pelag13018	1	AAA288N07_00478	hypothetical protein	
pelag13019	1	AAA288N07_00484	hypothetical protein	
pelag13020	1	AAA288N07_00487	Phosphoenolpyruvate carboxylase	
pelag13021	1	AAA288N07_00501	hypothetical protein	
pelag13022	1	AAA288N07_00516	hypothetical protein	
pelag13023	1	AAA288N07_00526	hypothetical protein	
pelag13024	1	AAA288N07_00546	tRNA modification GTPase MnmE	
pelag13025	1	AAA288N07_00547	Methylated-DNA--protein-cysteine methyltransferase	
pelag13026	1	AAA288N07_00549	Putative HMP/thiamine import ATP-binding protein YkoD	
pelag13027	1	AAA288N07_00550	hypothetical protein	
pelag13028	1	AAA288N07_00551	hypothetical protein	
pelag13029	1	AAA288N07_00604	hypothetical protein	
pelag13030	1	AAA288N07_00611	Adenine deaminase	
pelag13031	1	AAA288N07_00648	hypothetical protein	
pelag13032	1	AAA288N07_00652	Putative phenylalanine aminotransferase	
pelag13033	1	AAA288N07_00655	hypothetical protein	
pelag13034	1	AAA288N07_00658	hypothetical protein	
pelag13035	1	AAA288N07_00695	putative 2,4-dienoyl-CoA reductase	
pelag13036	1	AAA288N07_00696	dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase	
pelag13037	1	AAA288N07_00697	dTDP-4-amino-4,6-dideoxy-D-glucose ammonia-lyase	
pelag13038	1	AAA288N07_00708	GDP-L-fucose synthase	
pelag13039	1	AAA288N07_00712	hypothetical protein	
pelag13040	1	AAA288N07_00716	hypothetical protein	
pelag13041	1	AAA288N07_00733	Succinyl-CoA ligase [ADP-forming] subunit alpha	
pelag13042	1	AAA288N07_00752	hypothetical protein	
pelag13043	1	AAA288N07_00762	hypothetical protein	
pelag13044	1	AAA288N07_00793	Lipid A biosynthesis lauroyltransferase	
pelag13045	1	AAA288N07_00806	Bifunctional enzyme IspD/IspF	
pelag13046	1	AAA288N07_00811	hypothetical protein	
pelag13047	1	AAA288N07_00812	hypothetical protein	
pelag13048	1	AAA288N07_00815	hypothetical protein	
pelag13049	1	AAA288N07_00821	D-inositol-3-phosphate glycosyltransferase	
pelag13050	1	AAA288N07_00823	hypothetical protein	
pelag13051	1	AAA288N07_00825	hypothetical protein	
pelag13052	1	AAA288N07_00827	putative methyltransferase YcgJ	
pelag13053	1	AAA288N07_00834	Beta-(1-->2)glucan export ATP-binding/permease protein NdvA	
pelag13054	1	AAA288N07_00839	hypothetical protein	
pelag13055	1	AAA288N07_00870	NAD/NADP-dependent betaine aldehyde dehydrogenase	
pelag13056	1	AAA288N07_00880	tRNA (cmo5U34)-methyltransferase	
pelag13057	1	AAA288N07_00901	hypothetical protein	
pelag13058	1	AAA288N07_00923	7-carboxy-7-deazaguanine synthase	
pelag13059	1	AAA288N07_00934	hypothetical protein	
pelag13060	1	AAA288N07_00982	hypothetical protein	
pelag13061	1	AAA288N07_00985	hypothetical protein	
pelag13062	1	AAA288N07_00987	hypothetical protein	
pelag13063	1	AAA288N07_00989	hypothetical protein	
pelag13064	1	AAA288N07_00990	hypothetical protein	
pelag13065	1	AAA288N07_00993	hypothetical protein	
pelag13066	1	AAA288N07_00994	hypothetical protein	
pelag13067	1	AAA288N07_00995	hypothetical protein	
pelag13068	1	AAA288N07_00996	hypothetical protein	
pelag13069	1	AAA288N07_00997	hypothetical protein	
pelag13070	1	AAA288N07_01002	Replicative DNA helicase	
pelag13071	1	AAA288N07_01003	hypothetical protein	
pelag13072	1	AAA288N07_01004	hypothetical protein	
pelag13073	1	AAA288N07_01007	hypothetical protein	
pelag13074	1	AAA288N07_01012	Riboflavin biosynthesis protein RibBA	
pelag13075	1	AAA288N07_01015	hypothetical protein	
pelag13076	1	AAA288N07_01017	hypothetical protein	
pelag13077	1	AAA288N07_01018	hypothetical protein	
pelag13078	1	AAA288N07_01020	hypothetical protein	
pelag13079	1	AAA288N07_01023	hypothetical protein	
pelag13080	1	AAA288N07_01024	hypothetical protein	
pelag13081	1	AAA288N07_01025	hypothetical protein	
pelag13082	1	AAA288N07_01027	hypothetical protein	
pelag13083	1	AAA288N07_01028	hypothetical protein	
pelag13084	1	AAA288N07_01030	hypothetical protein	
pelag13085	1	AAA288N07_01031	hypothetical protein	
pelag13086	1	AAA288N07_01036	hypothetical protein	
pelag13087	1	AAA288N07_01037	hypothetical protein	
pelag13088	1	AAA288N07_01038	hypothetical protein	
pelag13089	1	AAA288N07_01040	hypothetical protein	
pelag13090	1	AAA288N07_01043	hypothetical protein	
pelag13091	1	HIMB058_00016	hypothetical protein	
pelag13092	1	HIMB058_00025	hypothetical protein	
pelag13093	1	HIMB058_00026	hypothetical protein	
pelag13094	1	HIMB058_00035	hypothetical protein	
pelag13095	1	HIMB058_00109	Argininosuccinate synthase	
pelag13096	1	HIMB058_00168	hypothetical protein	
pelag13097	1	HIMB058_00209	hypothetical protein	
pelag13098	1	HIMB058_00212	hypothetical protein	
pelag13099	1	HIMB058_00221	hypothetical protein	
pelag13100	1	HIMB058_00232	Serine protease Do-like HtrA	
pelag13101	1	HIMB058_00233	hypothetical protein	
pelag13102	1	HIMB058_00235	hypothetical protein	
pelag13103	1	HIMB058_00237	hypothetical protein	
pelag13104	1	HIMB058_00238	hypothetical protein	
pelag13105	1	HIMB058_00239	Phosphoadenosine phosphosulfate reductase	
pelag13106	1	HIMB058_00243	hypothetical protein	
pelag13107	1	HIMB058_00249	hypothetical protein	
pelag13108	1	HIMB058_00359	hypothetical protein	
pelag13109	1	HIMB058_00360	hypothetical protein	
pelag13110	1	HIMB058_00396	hypothetical protein	
pelag13111	1	HIMB058_00543	hypothetical protein	
pelag13112	1	HIMB058_00544	hypothetical protein	
pelag13113	1	HIMB058_00589	Anhydro-N-acetylmuramic acid kinase	
pelag13114	1	HIMB058_00593	putative ATP-dependent transporter SufC	
pelag13115	1	HIMB058_00594	hypothetical protein	
pelag13116	1	HIMB058_00642	hypothetical protein	
pelag13117	1	HIMB058_00756	hypothetical protein	
pelag13118	1	HIMB058_00800	hypothetical protein	
pelag13119	1	HIMB058_00801	hypothetical protein	
pelag13120	1	HIMB058_00815	Magnesium-protoporphyrin O-methyltransferase	
pelag13121	1	HIMB058_00830	hypothetical protein	
pelag13122	1	HIMB058_00951	hypothetical protein	
pelag13123	1	HIMB058_01097	hypothetical protein	
pelag13124	1	HIMB058_01141	hypothetical protein	
pelag13125	1	HIMB058_01162	hypothetical protein	
pelag13126	1	HIMB058_01163	hypothetical protein	
pelag13127	1	HIMB058_01164	hypothetical protein	
pelag13128	1	HIMB058_01178	hypothetical protein	
pelag13129	1	HIMB058_01193	hypothetical protein	
pelag13130	1	HIMB058_01197	Beta-galactosidase	
pelag13131	1	HIMB083_00012	hypothetical protein	
pelag13132	1	HIMB083_00015	hypothetical protein	
pelag13133	1	HIMB083_00068	hypothetical protein	
pelag13134	1	HIMB083_00304	hypothetical protein	
pelag13135	1	HIMB083_00339	Serine/threonine-protein kinase C	
pelag13136	1	HIMB083_00342	hypothetical protein	
pelag13137	1	HIMB083_00619	hypothetical protein	
pelag13138	1	HIMB083_00620	hypothetical protein	
pelag13139	1	HIMB083_00626	hypothetical protein	
pelag13140	1	HIMB083_00630	Putative transposon Tn552 DNA-invertase bin3	
pelag13141	1	HIMB083_00631	hypothetical protein	
pelag13142	1	HIMB083_00632	hypothetical protein	
pelag13143	1	HIMB083_01210	hypothetical protein	
pelag13144	1	HIMB083_01337	hypothetical protein	
pelag13145	1	HIMB083_01340	hypothetical protein	
pelag13146	1	HIMB083_01481	hypothetical protein	
pelag13147	1	HIMB083_01499	hypothetical protein	
pelag13148	1	HIMB114_00001	hypothetical protein	
pelag13149	1	HIMB114_00002	hypothetical protein	
pelag13150	1	HIMB114_00008	hypothetical protein	
pelag13151	1	HIMB114_00015	hypothetical protein	
pelag13152	1	HIMB114_00066	hypothetical protein	
pelag13153	1	HIMB114_00074	hypothetical protein	
pelag13154	1	HIMB114_00190	hypothetical protein	
pelag13155	1	HIMB114_00270	hypothetical protein	
pelag13156	1	HIMB114_00284	hypothetical protein	
pelag13157	1	HIMB114_00288	hypothetical protein	
pelag13158	1	HIMB114_00291	hypothetical protein	
pelag13159	1	HIMB114_00323	Nicotinate dehydrogenase medium molybdopterin subunit	
pelag13160	1	HIMB114_00325	hypothetical protein	
pelag13161	1	HIMB114_00327	3D-(3,5/4)-trihydroxycyclohexane-1,2-dione hydrolase	
pelag13162	1	HIMB114_00330	hypothetical protein	
pelag13163	1	HIMB114_00331	Green-light absorbing proteorhodopsin	
pelag13164	1	HIMB114_00455	hypothetical protein	
pelag13165	1	HIMB114_00538	hypothetical protein	
pelag13166	1	HIMB114_00617	hypothetical protein	
pelag13167	1	HIMB114_00621	Ribosomal RNA small subunit methyltransferase A	
pelag13168	1	HIMB114_00624	hypothetical protein	
pelag13169	1	HIMB114_00625	hypothetical protein	
pelag13170	1	HIMB114_00626	hypothetical protein	
pelag13171	1	HIMB114_00627	hypothetical protein	
pelag13172	1	HIMB114_00638	hypothetical protein	
pelag13173	1	HIMB114_00640	hypothetical protein	
pelag13174	1	HIMB114_00641	Autoinducer 2 sensor kinase/phosphatase LuxQ	
pelag13175	1	HIMB114_00642	hypothetical protein	
pelag13176	1	HIMB114_00643	putative transcriptional regulatory protein YedW	
pelag13177	1	HIMB114_00644	hypothetical protein	
pelag13178	1	HIMB114_00698	hypothetical protein	
pelag13179	1	HIMB114_00842	hypothetical protein	
pelag13180	1	HIMB114_00862	hypothetical protein	
pelag13181	1	HIMB114_00868	hypothetical protein	
pelag13182	1	HIMB114_00869	Dimethylglycine N-methyltransferase	
pelag13183	1	HIMB114_00872	hypothetical protein	
pelag13184	1	HIMB114_00873	hypothetical protein	
pelag13185	1	HIMB114_00874	hypothetical protein	
pelag13186	1	HIMB114_00884	hypothetical protein	
pelag13187	1	HIMB114_00886	hypothetical protein	
pelag13188	1	HIMB114_00899	hypothetical protein	
pelag13189	1	HIMB114_00900	hypothetical protein	
pelag13190	1	HIMB114_00904	hypothetical protein	
pelag13191	1	HIMB114_00914	Bifunctional protein HldE	
pelag13192	1	HIMB114_00916	hypothetical protein	
pelag13193	1	HIMB114_00939	hypothetical protein	
pelag13194	1	HIMB114_00980	hypothetical protein	
pelag13195	1	HIMB114_00982	hypothetical protein	
pelag13196	1	HIMB114_00999	hypothetical protein	
pelag13197	1	HIMB114_01000	Alpha-ketoglutaric semialdehyde dehydrogenase	
pelag13198	1	HIMB114_01024	hypothetical protein	
pelag13199	1	HIMB114_01030	hypothetical protein	
pelag13200	1	HIMB114_01089	hypothetical protein	
pelag13201	1	HIMB114_01109	hypothetical protein	
pelag13202	1	HIMB114_01204	Threonylcarbamoyladenosine tRNA methylthiotransferase MtaB	
pelag13203	1	HIMB114_01249	hypothetical protein	
pelag13204	1	HIMB114_01260	hypothetical protein	
pelag13205	1	HIMB114_01300	hypothetical protein	
pelag13206	1	HIMB114_01303	hypothetical protein	
pelag13207	1	HIMB114_01304	hypothetical protein	
pelag13208	1	HIMB114_01308	hypothetical protein	
pelag13209	1	HIMB114_01311	Cytochrome c2	
pelag13210	1	HIMB114_01322	hypothetical protein	
pelag13211	1	HIMB114_01340	hypothetical protein	
pelag13212	1	HIMB114_01345	hypothetical protein	
pelag13213	1	HIMB114_01352	hypothetical protein	
pelag13214	1	HIMB114_01359	Lipoprotein-releasing system ATP-binding protein LolD	
pelag13215	1	HIMB122_00029	hypothetical protein	
pelag13216	1	HIMB122_00102	hypothetical protein	
pelag13217	1	HIMB122_00104	hypothetical protein	
pelag13218	1	HIMB122_00105	hypothetical protein	
pelag13219	1	HIMB122_00464	hypothetical protein	
pelag13220	1	HIMB122_00541	hypothetical protein	
pelag13221	1	HIMB122_00658	hypothetical protein	
pelag13222	1	HIMB122_00673	hypothetical protein	
pelag13223	1	HIMB122_00675	hypothetical protein	
pelag13224	1	HIMB122_00676	hypothetical protein	
pelag13225	1	HIMB122_00678	Carbamoyl-phosphate synthase large chain	
pelag13226	1	HIMB122_00679	hypothetical protein	
pelag13227	1	HIMB122_00680	hypothetical protein	
pelag13228	1	HIMB122_00683	hypothetical protein	
pelag13229	1	HIMB122_00685	hypothetical protein	
pelag13230	1	HIMB122_00686	hypothetical protein	
pelag13231	1	HIMB122_00701	hypothetical protein	
pelag13232	1	HIMB122_00706	hypothetical protein	
pelag13233	1	HIMB122_00712	hypothetical protein	
pelag13234	1	HIMB122_00717	hypothetical protein	
pelag13235	1	HIMB122_01087	hypothetical protein	
pelag13236	1	HIMB122_01090	hypothetical protein	
pelag13237	1	HIMB122_01092	hypothetical protein	
pelag13238	1	HIMB122_01093	hypothetical protein	
pelag13239	1	HIMB122_01161	Outer membrane protein OprM	
pelag13240	1	HIMB122_01162	putative HTH-type transcriptional regulator YbiH	
pelag13241	1	HIMB122_01163	Cobalt-zinc-cadmium resistance protein CzcA	
pelag13242	1	HIMB122_01207	hypothetical protein	
pelag13243	1	HIMB122_01372	Demethylrebeccamycin-D-glucose O-methyltransferase	
pelag13244	1	HIMB122_01415	hypothetical protein	
pelag13245	1	HIMB122_01421	putative manganese efflux pump MntP	
pelag13246	1	HIMB122_01426	4,5-DOPA dioxygenase extradiol	
pelag13247	1	HIMB1321_00197	hypothetical protein	
pelag13248	1	HIMB1321_00198	hypothetical protein	
pelag13249	1	HIMB1321_00201	hypothetical protein	
pelag13250	1	HIMB1321_00202	hypothetical protein	
pelag13251	1	HIMB1321_00342	Ectoine hydrolase	
pelag13252	1	HIMB1321_00344	hypothetical protein	
pelag13253	1	HIMB1321_00345	hypothetical protein	
pelag13254	1	HIMB1321_00346	Acetolactate synthase large subunit	
pelag13255	1	HIMB1321_00347	D-amino acid dehydrogenase 1	
pelag13256	1	HIMB1321_00352	putative sulfoacetate--CoA ligase	
pelag13257	1	HIMB1321_00421	hypothetical protein	
pelag13258	1	HIMB1321_00423	hypothetical protein	
pelag13259	1	HIMB1321_00424	hypothetical protein	
pelag13260	1	HIMB1321_00425	hypothetical protein	
pelag13261	1	HIMB1321_00426	hypothetical protein	
pelag13262	1	HIMB1321_00428	hypothetical protein	
pelag13263	1	HIMB1321_00431	hypothetical protein	
pelag13264	1	HIMB1321_00432	hypothetical protein	
pelag13265	1	HIMB1321_00433	hypothetical protein	
pelag13266	1	HIMB1321_00434	hypothetical protein	
pelag13267	1	HIMB1321_00435	hypothetical protein	
pelag13268	1	HIMB1321_00754	hypothetical protein	
pelag13269	1	HIMB1321_00755	hypothetical protein	
pelag13270	1	HIMB1321_00756	hypothetical protein	
pelag13271	1	HIMB1321_00757	hypothetical protein	
pelag13272	1	HIMB1321_00758	hypothetical protein	
pelag13273	1	HIMB1321_00789	hypothetical protein	
pelag13274	1	HIMB1321_00831	hypothetical protein	
pelag13275	1	HIMB1321_00847	hypothetical protein	
pelag13276	1	HIMB1321_00848	hypothetical protein	
pelag13277	1	HIMB1321_00852	Monocarboxylate 2-oxoacid-binding periplasmic protein	
pelag13278	1	HIMB1321_00853	3-methyl-2-oxobutanoate hydroxymethyltransferase	
pelag13279	1	HIMB1321_00854	HTH-type transcriptional repressor RspR	
pelag13280	1	HIMB1321_00855	Putative thiazole biosynthetic enzyme	
pelag13281	1	HIMB1321_01034	hypothetical protein	
pelag13282	1	HIMB1321_01050	hypothetical protein	
pelag13283	1	HIMB1321_01104	hypothetical protein	
pelag13284	1	HIMB1321_01157	hypothetical protein	
pelag13285	1	HIMB140_00005	hypothetical protein	
pelag13286	1	HIMB140_00006	hypothetical protein	
pelag13287	1	HIMB140_00007	hypothetical protein	
pelag13288	1	HIMB140_00008	hypothetical protein	
pelag13289	1	HIMB140_00010	hypothetical protein	
pelag13290	1	HIMB140_00014	hypothetical protein	
pelag13291	1	HIMB140_00017	hypothetical protein	
pelag13292	1	HIMB140_00198	hypothetical protein	
pelag13293	1	HIMB140_00392	hypothetical protein	
pelag13294	1	HIMB140_00393	hypothetical protein	
pelag13295	1	HIMB140_00394	hypothetical protein	
pelag13296	1	HIMB140_00395	hypothetical protein	
pelag13297	1	HIMB140_00396	hypothetical protein	
pelag13298	1	HIMB140_00406	hypothetical protein	
pelag13299	1	HIMB140_00411	hypothetical protein	
pelag13300	1	HIMB140_00412	hypothetical protein	
pelag13301	1	HIMB140_00413	Putative membrane protein mmpL5	
pelag13302	1	HIMB140_00420	Hydroxypyruvate isomerase	
pelag13303	1	HIMB140_00687	hypothetical protein	
pelag13304	1	HIMB140_00945	putative FAD-linked oxidoreductase	
pelag13305	1	HIMB140_01014	hypothetical protein	
pelag13306	1	HIMB140_01070	hypothetical protein	
pelag13307	1	HIMB140_01183	hypothetical protein	
pelag13308	1	HIMB140_01185	hypothetical protein	
pelag13309	1	HIMB140_01202	hypothetical protein	
pelag13310	1	HIMB140_01203	hypothetical protein	
pelag13311	1	HIMB140_01207	hypothetical protein	
pelag13312	1	HIMB140_01208	hypothetical protein	
pelag13313	1	HIMB140_01215	UDP-N-acetyl-2-amino-2-deoxy-D-glucuronate oxidase	
pelag13314	1	HIMB140_01218	hypothetical protein	
pelag13315	1	HIMB140_01230	hypothetical protein	
pelag13316	1	HIMB140_01235	hypothetical protein	
pelag13317	1	HIMB140_01237	hypothetical protein	
pelag13318	1	HIMB140_01238	hypothetical protein	
pelag13319	1	HIMB140_01241	hypothetical protein	
pelag13320	1	HIMB140_01243	Galactoside O-acetyltransferase	
pelag13321	1	HIMB140_01434	hypothetical protein	
pelag13322	1	HIMB4_00002	Copper resistance protein B	
pelag13323	1	HIMB4_00003	Copper resistance protein A	
pelag13324	1	HIMB4_00004	hypothetical protein	
pelag13325	1	HIMB4_00010	hypothetical protein	
pelag13326	1	HIMB4_00011	hypothetical protein	
pelag13327	1	HIMB4_00068	hypothetical protein	
pelag13328	1	HIMB4_00165	hypothetical protein	
pelag13329	1	HIMB4_00167	hypothetical protein	
pelag13330	1	HIMB4_00168	hypothetical protein	
pelag13331	1	HIMB4_00169	hypothetical protein	
pelag13332	1	HIMB4_00170	hypothetical protein	
pelag13333	1	HIMB4_00172	hypothetical protein	
pelag13334	1	HIMB4_00176	Cys-loop ligand-gated ion channel	
pelag13335	1	HIMB4_00178	hypothetical protein	
pelag13336	1	HIMB4_00179	hypothetical protein	
pelag13337	1	HIMB4_00261	hypothetical protein	
pelag13338	1	HIMB4_00331	N-acetylgalactosamine-N,N'-diacetylbacillosaminyl-diphospho-undecaprenol 4-alpha-N-acetylgalactosaminyltransferase	
pelag13339	1	HIMB4_00333	hypothetical protein	
pelag13340	1	HIMB4_00338	hypothetical protein	
pelag13341	1	HIMB4_00358	endonuclease 4	
pelag13342	1	HIMB4_00364	hypothetical protein	
pelag13343	1	HIMB4_00371	hypothetical protein	
pelag13344	1	HIMB4_00425	hypothetical protein	
pelag13345	1	HIMB4_00590	Disulfide bond formation protein D	
pelag13346	1	HIMB4_00591	Sulfoxide reductase heme-binding subunit YedZ	
pelag13347	1	HIMB4_00595	Lipoprotein signal peptidase	
